스모크 테스트를 통과한 63/63개 조합만 실행합니다.
[unsw-nb15] A_dd=ssf_ss=ssf_mm=none_af=gpm_as=cade_mad f1=0.691 pr_auc=0.949 bwt=0.012 (9.5s)
[unsw-nb15] A_dd=ssf_ss=ssf_mm=fifo_af=gpm_as=cade_mad f1=0.754 pr_auc=0.952 bwt=0.028 (10.4s)
[unsw-nb15] A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=cade_mad f1=0.754 pr_auc=0.952 bwt=0.028 (8.5s)
[unsw-nb15] A_dd=cade_ss=random_mm=none_af=gpm_as=cade_mad f1=0.873 pr_auc=0.976 bwt=0.037 (5.4s)
[unsw-nb15] A_dd=cade_ss=random_mm=fifo_af=gpm_as=cade_mad f1=0.903 pr_auc=0.975 bwt=0.049 (5.8s)
[unsw-nb15] A_dd=cade_ss=random_mm=ssf_af=gpm_as=cade_mad f1=0.903 pr_auc=0.975 bwt=0.049 (6.0s)
[unsw-nb15] A_dd=cade_ss=ssf_mm=none_af=gpm_as=cade_mad f1=0.664 pr_auc=0.940 bwt=-0.003 (8.7s)
[unsw-nb15] A_dd=cade_ss=ssf_mm=fifo_af=gpm_as=cade_mad f1=0.702 pr_auc=0.941 bwt=0.005 (9.5s)
[unsw-nb15] A_dd=cade_ss=ssf_mm=ssf_af=gpm_as=cade_mad f1=0.702 pr_auc=0.941 bwt=0.005 (9.0s)
[unsw-nb15] B_dd=none_ss=random_mm=none_af=cndids_as=pca f1=0.810 pr_auc=0.794 bwt=-0.009 (7.2s)
[unsw-nb15] B_dd=none_ss=random_mm=none_af=cndids_as=dif f1=0.816 pr_auc=0.797 bwt=0.002 (251.7s)
[unsw-nb15] B_dd=none_ss=random_mm=none_af=cndids_as=lof f1=0.814 pr_auc=0.652 bwt=0.001 (7.3s)
[unsw-nb15] B_dd=none_ss=random_mm=fifo_af=cndids_as=pca f1=0.826 pr_auc=0.820 bwt=-0.000 (8.1s)
[unsw-nb15] B_dd=none_ss=random_mm=fifo_af=cndids_as=dif f1=0.816 pr_auc=0.792 bwt=-0.001 (257.8s)
[unsw-nb15] B_dd=none_ss=random_mm=fifo_af=cndids_as=lof f1=0.824 pr_auc=0.761 bwt=0.003 (9.0s)
[unsw-nb15] B_dd=none_ss=random_mm=cndids_af=cndids_as=pca f1=0.796 pr_auc=0.799 bwt=-0.008 (8.3s)
[unsw-nb15] B_dd=none_ss=random_mm=cndids_af=cndids_as=dif f1=0.830 pr_auc=0.790 bwt=0.004 (252.6s)
[unsw-nb15] B_dd=none_ss=random_mm=cndids_af=cndids_as=lof f1=0.824 pr_auc=0.706 bwt=0.057 (10.8s)
