combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc
A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad,A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,cade,random,spider,gpm,cade_mad,A,0.757428558925211,0.8638450788580555,0.6743551780565729,0.8968156198825088
A_dd=cade_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,spider,lwf_ssf,cade_mad,A,0.757114553314121,0.8967466666666667,0.6551079248811658,0.9126192689199331
A_dd=cade_ss=random_mm=ssf_af=gpm_as=cade_mad,A_dd=cade_ss=random_mm=ssf_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,cade,random,ssf,gpm,cade_mad,A,0.7560901735104495,0.8500681066355322,0.6808228785163251,0.8985722690278342
A_dd=none_ss=random_mm=ssf_af=none_as=none,A_dd=none_ss=random_mm=ssf_af=none_as=none__nsl-kdd,nsl-kdd,none,random,ssf,none,none,A,0.754838100632493,0.9572608643601102,0.6230811189901037,0.8996076257847201
A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad,A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,none,ssf,none,lwf_ssf,cade_mad,A,0.7538738738738738,0.8933489911391054,0.6520688849061015,0.9116118969100792
A_dd=cade_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,none,lwf_ssf,cade_mad,A,0.7530188593912531,0.8972838973916792,0.6487181485233383,0.9138419021406576
A_dd=cade_ss=ssf_mm=spider_af=none_as=cade_mad,A_dd=cade_ss=ssf_mm=spider_af=none_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,spider,none,cade_mad,A,0.7527278975857032,0.8387745332695069,0.6826930569625185,0.8826517348925214
A_dd=cade_ss=random_mm=none_af=none_as=none,A_dd=cade_ss=random_mm=none_af=none_as=none__nsl-kdd,nsl-kdd,cade,random,none,none,none,A,0.7514046237450493,0.9185902488458507,0.6357048235019092,0.896298946803344
A_dd=cade_ss=random_mm=ssf_af=gpm_as=none,A_dd=cade_ss=random_mm=ssf_af=gpm_as=none__nsl-kdd,nsl-kdd,cade,random,ssf,gpm,none,A,0.7512226630986435,0.9208234362628662,0.6343801137691888,0.9087597575862099
A_dd=cade_ss=random_mm=spider_af=gpm_as=none,A_dd=cade_ss=random_mm=spider_af=gpm_as=none__nsl-kdd,nsl-kdd,cade,random,spider,gpm,none,A,0.7509925214661619,0.9212821384075207,0.6338346450557157,0.9114336418318882
A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,none,ssf,ssf,lwf_ssf,cade_mad,A,0.7506913904882803,0.8975498699045967,0.6451336398348009,0.9102465999095771
A_dd=cade_ss=random_mm=spider_af=none_as=none,A_dd=cade_ss=random_mm=spider_af=none_as=none__nsl-kdd,nsl-kdd,cade,random,spider,none,none,A,0.7498730202705822,0.9202175883952856,0.6327437076287695,0.8888450805148106
A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,ssf,ssf,ssf,lwf_ssf,cade_mad,A,0.7486844492832517,0.8958853544674845,0.6430296890828333,0.9093338671469045
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none__nsl-kdd,nsl-kdd,cade,random,none,lwf_ssf,none,A,0.7477456647398842,0.9195859872611465,0.6300163640614042,0.9050646248652197
A_dd=ssf_ss=random_mm=ssf_af=none_as=none,A_dd=ssf_ss=random_mm=ssf_af=none_as=none__nsl-kdd,nsl-kdd,ssf,random,ssf,none,none,A,0.7454874483782654,0.9214269327827483,0.6259643107613184,0.8980210439614833
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none__nsl-kdd,nsl-kdd,cade,random,ssf,lwf_ssf,none,A,0.7452961349522662,0.919496855345912,0.6265877035767162,0.9106769343580672
A_dd=none_ss=ssf_mm=none_af=none_as=cade_mad,A_dd=none_ss=ssf_mm=none_af=none_as=cade_mad__nsl-kdd,nsl-kdd,none,ssf,none,none,cade_mad,A,0.7432103221149507,0.8825672345440908,0.6418608275539625,0.8222667452436088
A_dd=cade_ss=ssf_mm=none_af=none_as=cade_mad,A_dd=cade_ss=ssf_mm=none_af=none_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,none,none,cade_mad,A,0.7420462762111352,0.8832705755782679,0.6397568768019949,0.8297257199133186
A_dd=cade_ss=ssf_mm=ssf_af=none_as=cade_mad,A_dd=cade_ss=ssf_mm=ssf_af=none_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,ssf,none,cade_mad,A,0.739773086832708,0.8808396124865446,0.6376529260500273,0.8476084997486063
A_dd=cade_ss=random_mm=none_af=gpm_as=none,A_dd=cade_ss=random_mm=none_af=gpm_as=none__nsl-kdd,nsl-kdd,cade,random,none,gpm,none,A,0.7396391776607151,0.9205152007426317,0.618171900568846,0.9078752026535273
A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad,A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad__nsl-kdd,nsl-kdd,cade,random,ssf,none,cade_mad,A,0.7365735890311118,0.8865131578947368,0.6300163640614042,0.8824840067171735
A_dd=none_ss=random_mm=none_af=none_as=cade_mad,A_dd=none_ss=random_mm=none_af=none_as=cade_mad__nsl-kdd,nsl-kdd,none,random,none,none,cade_mad,A,0.7361445236258,0.8816046966731899,0.6318865425075976,0.8816414801563367
A_dd=none_ss=ssf_mm=spider_af=none_as=cade_mad,A_dd=none_ss=ssf_mm=spider_af=none_as=cade_mad__nsl-kdd,nsl-kdd,none,ssf,spider,none,cade_mad,A,0.7352503046991379,0.8738197424892704,0.6346138860749629,0.8281425875236597
