# 기준선: A_dd=none_ss=random_mm=none_af=none_as=none (backbone만 BCE로 계속 학습, drift/메모리/망각방지/별도 scorer 없음). Track B 조합은 라벨 예산 없이 experience 전체를 쓰므로 학습 조건 자체가 다르다 (write_no_cl_comparison() docstring 참고)
combo_id,track,f1,bwt,f1_delta_vs_no_cl,pr_auc_delta_vs_no_cl,bwt_delta_vs_no_cl,final_f1_exp0,forgetting_exp0,no_cl_final_f1_exp0,no_cl_forgetting_exp0,final_f1_exp1,forgetting_exp1,no_cl_final_f1_exp1,no_cl_forgetting_exp1,final_f1_exp2,forgetting_exp2,no_cl_final_f1_exp2,no_cl_forgetting_exp2,final_f1_exp3,forgetting_exp3,no_cl_final_f1_exp3,no_cl_forgetting_exp3,final_f1_exp4,forgetting_exp4,no_cl_final_f1_exp4,no_cl_forgetting_exp4
A_dd=none_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A,0.5923342492778131,-0.02261522573513978,0.1732341574504485,-0.2356173019353529,0.36103326700099975,0.8473609129814551,-0.012228556260817758,0.5963793265172123,0.33833835233359144,0.47795275590551173,0.03537327549280883,0.17528089887640452,0.6884666005679164,0.25699481865284973,-0.00974536876287177,0.005765765765765766,0.3215831271127501,0.047129909365558914,0.07706155247143982,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=none,A,0.5898059325405596,0.0210140184174305,0.170705840713195,-0.2575362693582245,0.40466251115357005,0.8075310730308156,0.013364449357244124,0.5963793265172123,0.33833835233359144,0.5520038167938932,-0.09605028339602295,0.17528089887640452,0.6884666005679164,0.002955082742316785,-8.399459991081286e-05,0.005765765765765766,0.3215831271127501,0.0448642266824085,-0.0012862450310323487,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=none_ss=random_mm=ssf_af=none_as=cade_mad,A,0.5894131539764851,-0.21978283832848716,0.1703130621491205,-0.0871799177610788,0.16386565440765238,0.7466185752930568,0.18211574625768434,0.5963793265172123,0.33833835233359144,0.5404339250493096,0.36330714262618424,0.17528089887640452,0.6884666005679164,0.12587859424920128,0.23045904666363898,0.005765765765765766,0.3215831271127501,0.14084507042253522,0.10324941776644114,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=none,A,0.5885854173666778,0.0019070360479883333,0.16948532553931323,-0.2646064414850744,0.38555552878412785,0.7864942306203052,0.009843755271935484,0.5963793265172123,0.33833835233359144,0.5412940557601262,-0.019599840884093167,0.17528089887640452,0.6884666005679164,0.0038363171355498722,-0.00010845133871855784,0.005765765765765766,0.3215831271127501,0.059113300492610835,0.0022363927589229074,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=none_ss=random_mm=spider_af=none_as=cade_mad,A,0.5872016251904519,-0.16813030624167863,0.16810153336308736,-0.15675058481433313,0.21551818649446092,0.7291235620292974,0.1996107595214437,0.5963793265172123,0.33833835233359144,0.5483781535902412,0.362468189877302,0.17528089887640452,0.6884666005679164,0.21629718394248051,0.1013464776226364,0.005765765765765766,0.3215831271127501,0.1137855579868709,0.009095797945332482,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A,0.5815449897394873,-0.0019871999306153923,0.16244489791212274,-0.23845079168439764,0.38166129280552413,0.8395604395604396,-0.004428082839802228,0.5963793265172123,0.33833835233359144,0.467704280155642,0.0071212902761890184,0.17528089887640452,0.6884666005679164,0.2526487367563162,-0.00400661243525402,0.005765765765765766,0.3215831271127501,0.050028425241614556,0.009262204721328798,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=none,A,0.5803310613437196,-0.000537196455145477,0.16123096951635502,-0.25844011224881913,0.38311129628099405,0.8164603058994901,0.004435216488569593,0.5963793265172123,0.33833835233359144,0.4649761486316847,-0.0011106024131972703,0.17528089887640452,0.6884666005679164,0.0035200938691698452,-0.0001225853753986099,0.005765765765765766,0.3215831271127501,0.044186046511627906,-0.0010532428793918053,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A,0.575888161243256,0.005273934809209287,0.15678806941589146,-0.25897471824415885,0.38892242754534884,0.8284610431423053,0.006671313578332061,0.5963793265172123,0.33833835233359144,0.5104663973558574,0.008966948085479265,0.17528089887640452,0.6884666005679164,0.24776652769505655,0.0006806772738875422,0.005765765765765766,0.3215831271127501,0.04180064308681672,-0.03741467817453602,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad,A,0.5721341839884749,-0.01693485933867655,0.15303409216111036,-0.24946300968541701,0.366713633397463,0.8322909278483461,0.0028414288722912184,0.5963793265172123,0.33833835233359144,0.46721155673826265,0.04656330186418223,0.17528089887640452,0.6884666005679164,0.2474474474474474,0.0010899743802710027,0.005765765765765766,0.3215831271127501,0.04259967231021299,0.017244732237961753,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=none_ss=random_mm=spider_af=none_as=none,A,0.5666003976143141,-0.231950021335328,0.14750030578694956,0.005080648178395042,0.15169847140081155,0.7229982964224871,0.21171938242831656,0.5963793265172123,0.33833835233359144,0.46134506599622876,0.4231361894527686,0.17528089887640452,0.6884666005679164,0.09399656946826758,0.22918144725813627,0.005765765765765766,0.3215831271127501,0.12195121951219512,0.0637630662020906,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=ssf_ss=random_mm=ssf_af=none_as=cade_mad,A,0.5563004085052896,-0.24144433092827222,0.13720031667792504,-0.09695713539517004,0.14220416180786732,0.7290836653386454,0.19965065621209566,0.5963793265172123,0.33833835233359144,0.4675324675324676,0.4362086001430263,0.17528089887640452,0.6884666005679164,0.06568144499178982,0.23593858446329116,0.005765765765765766,0.3215831271127501,0.12558139534883722,0.09397948289467575,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=cade_ss=ssf_mm=none_af=lwf_ssf_as=none,A,0.5481757758332138,-0.012294273950852619,0.12907568400584918,-0.28217961548481574,0.3713542187852869,0.753316066242838,0.04302191964940272,0.5963793265172123,0.33833835233359144,0.48139350752177357,0.0017900611560185409,0.17528089887640452,0.6884666005679164,0.0018668326073428751,-3.3652039056898675e-05,0.005765765765765766,0.3215831271127501,0.05209840810419682,0.004398767037046114,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=cade_mad,A,0.5128259263169006,0.12183175835691107,0.09372583448953603,-0.1626993793626691,0.5054802510930506,0.47405940594059404,-0.04334394541427833,0.5963793265172123,0.33833835233359144,0.6805452292441141,-0.6308657420646269,0.17528089887640452,0.6884666005679164,0.48066717210007576,0.16744415990787648,0.005765765765765766,0.3215831271127501,0.47297297297297297,0.0194384941433845,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=cade_ss=random_mm=none_af=gpm_as=cade_mad,A,0.5128259263169006,0.12183175835691107,0.09372583448953603,-0.1626993793626691,0.5054802510930506,0.47405940594059404,-0.04334394541427833,0.5963793265172123,0.33833835233359144,0.6805452292441141,-0.6308657420646269,0.17528089887640452,0.6884666005679164,0.48066717210007576,0.16744415990787648,0.005765765765765766,0.3215831271127501,0.47297297297297297,0.0194384941433845,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=cade_ss=random_mm=none_af=none_as=cade_mad,A,0.5128259263169006,0.12183175835691107,0.09372583448953603,-0.1626993793626691,0.5054802510930506,0.47405940594059404,-0.04334394541427833,0.5963793265172123,0.33833835233359144,0.6805452292441141,-0.6308657420646269,0.17528089887640452,0.6884666005679164,0.48066717210007576,0.16744415990787648,0.005765765765765766,0.3215831271127501,0.47297297297297297,0.0194384941433845,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=cade_ss=random_mm=spider_af=none_as=none,A,0.47626286248830685,-0.22193343140486016,0.057162770660942275,-0.04524943448742991,0.16171506133127939,0.5757662017269191,0.36175566212251775,0.5963793265172123,0.33833835233359144,0.46992832658148953,0.47668062002745715,0.17528089887640452,0.6884666005679164,0.17861799217731422,0.014098733571960675,0.005765765765765766,0.3215831271127501,0.08835341365461848,0.03519870989750508,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A,0.4746897990556715,0.09827526466798464,0.05558970722830692,-0.15823849141594604,0.4819237574041242,0.42085737840065957,0.009858082125656142,0.5963793265172123,0.33833835233359144,0.6328451882845189,-0.587973393412724,0.17528089887640452,0.6884666005679164,0.47790339157245626,0.19341612860202567,0.005765765765765766,0.3215831271127501,0.501779359430605,-0.008401875986896401,0.018518518518518517,0.18620589093030035,0.0,0.0,0.0,0.0
