combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc
A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=none,A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=none__cicids2018,cicids2018,none,ssf,none,lwf_ssf,none,A,0.4549793864323322,0.8034838649418578,0.31733706157500996,0.446058184241268
A_dd=cade_ss=ssf_mm=spider_af=lwf_ssf_as=none,A_dd=cade_ss=ssf_mm=spider_af=lwf_ssf_as=none__cicids2018,cicids2018,cade,ssf,spider,lwf_ssf,none,A,0.44310347924026794,0.7275898386485234,0.3185507075297694,0.3854438538015545
A_dd=ssf_ss=ssf_mm=spider_af=none_as=none,A_dd=ssf_ss=ssf_mm=spider_af=none_as=none__cicids2018,cicids2018,ssf,ssf,spider,none,none,A,0.41703492904482414,0.5830015303790173,0.32462262619704596,0.2669203920405465
A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad__cicids2018,cicids2018,ssf,ssf,ssf,lwf_ssf,cade_mad,A,0.32257306256966994,0.24017386095453921,0.4910396777382656,0.2056438818504599
A_dd=none_ss=ssf_mm=ssf_af=gpm_as=none,A_dd=none_ss=ssf_mm=ssf_af=gpm_as=none__cicids2018,cicids2018,none,ssf,ssf,gpm,none,A,0.3003677798181466,0.2801588593794396,0.3237188472945655,0.14255200094031362
A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad__cicids2018,cicids2018,cade,ssf,ssf,lwf_ssf,cade_mad,A,0.2908450016022327,0.21016096876857743,0.47208614304053353,0.19755075366791702
A_dd=cade_ss=ssf_mm=none_af=none_as=cade_mad,A_dd=cade_ss=ssf_mm=none_af=none_as=cade_mad__cicids2018,cicids2018,cade,ssf,none,none,cade_mad,A,0.25123081136129444,0.153471368399181,0.6920733056912248,0.1563271071250813
A_dd=none_ss=ssf_mm=none_af=none_as=cade_mad,A_dd=none_ss=ssf_mm=none_af=none_as=cade_mad__cicids2018,cicids2018,none,ssf,none,none,cade_mad,A,0.25123081136129444,0.153471368399181,0.6920733056912248,0.1563271071250813
A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad__cicids2018,cicids2018,ssf,ssf,spider,lwf_ssf,cade_mad,A,0.24525030055524547,0.14023739271736407,0.9764021484115625,0.12602624081560893
A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=none,A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=none__cicids2018,cicids2018,ssf,ssf,spider,gpm,none,A,0.23941517675522464,0.14993772468254493,0.593734783314397,0.107518923491473
A_dd=none_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=none_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad__cicids2018,cicids2018,none,ssf,spider,lwf_ssf,cade_mad,A,0.23472236403128702,0.15372823988395368,0.49610083959215595,0.11546169480960776
A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad__cicids2018,cicids2018,none,ssf,ssf,lwf_ssf,cade_mad,A,0.23464834484533573,0.15350617733384905,0.49776084165793627,0.11335471724624889
A_dd=cade_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad__cicids2018,cicids2018,cade,ssf,none,lwf_ssf,cade_mad,A,0.22448856115841323,0.14477109196194826,0.49957946614333565,0.12416781914341345
A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad,A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad__cicids2018,cicids2018,none,ssf,none,lwf_ssf,cade_mad,A,0.22448856115841323,0.14477109196194826,0.49957946614333565,0.12416781914341345
