exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,f1,precision,recall,fpr,balanced_accuracy,bwt,fwt,label_efficiency,avg_inference_ms
dummy__dr=ssf__sl=rand__mm=cnd__af=lwf__sc=mad,dummy,ssf,random,cndids,lwf_ssf,cade_mad,0.6044,0.8864,0.4699,0.0602,,,,,
dummy__dr=ssf__sl=ssf__mm=none__af=none__sc=pca,dummy,ssf,ssf,none,none,pca,0.6166,0.5347,0.5934,0.6267,0.4834,-0.0159,0.0404,0.6988,0.84
dummy__dr=ssf__sl=ssf__mm=none__af=none__sc=mad,dummy,ssf,ssf,none,none,cade_mad,0.0824,0.3333,0.022,0.0533,0.4843,-0.0099,-0.4339,0.6988,0.31
dummy__dr=ssf__sl=ssf__mm=none__af=cnd__sc=pca,dummy,ssf,ssf,none,cndids,pca,0.6062,0.5773,0.6154,0.5467,0.5344,-0.0052,0.0615,0.6988,0.85
dummy__dr=ssf__sl=ssf__mm=none__af=cnd__sc=mad,dummy,ssf,ssf,none,cndids,cade_mad,0.2341,0.619,0.1429,0.1067,0.5181,-0.0001,-0.2176,0.6988,0.27
dummy__dr=ssf__sl=ssf__mm=none__af=gpm__sc=pca,dummy,ssf,ssf,none,gpm,pca,0.6126,0.6078,0.6813,0.5333,0.574,-0.0055,0.0863,0.6988,0.86
dummy__dr=ssf__sl=ssf__mm=none__af=gpm__sc=mad,dummy,ssf,ssf,none,gpm,cade_mad,0.1746,0.4706,0.0879,0.12,0.484,0.0,-0.3286,0.6988,0.3
dummy__dr=ssf__sl=ssf__mm=none__af=lwf__sc=pca,dummy,ssf,ssf,none,lwf_ssf,pca,0.6256,0.5566,0.6484,0.6267,0.5108,0.0142,0.0488,0.6988,0.86
dummy__dr=ssf__sl=ssf__mm=none__af=lwf__sc=mad,dummy,ssf,ssf,none,lwf_ssf,cade_mad,0.0149,0.2,0.011,0.0533,0.4788,0.0,-0.4896,0.6988,0.35
dummy__dr=ssf__sl=ssf__mm=fifo__af=none__sc=pca,dummy,ssf,ssf,fifo,none,pca,0.6264,0.549,0.6154,0.6133,0.501,0.0333,0.0611,0.6988,0.9
dummy__dr=ssf__sl=ssf__mm=fifo__af=none__sc=mad,dummy,ssf,ssf,fifo,none,cade_mad,0.1445,0.4,0.0659,0.12,0.473,-0.011,-0.3902,0.6988,0.33
dummy__dr=ssf__sl=ssf__mm=fifo__af=cnd__sc=pca,dummy,ssf,ssf,fifo,cndids,pca,0.5653,0.4948,0.5275,0.6533,0.4371,0.0016,0.0275,0.6988,0.83
dummy__dr=ssf__sl=ssf__mm=fifo__af=cnd__sc=mad,dummy,ssf,ssf,fifo,cndids,cade_mad,0.1141,0.25,0.022,0.08,0.471,-0.001,-0.3722,0.6988,0.29
dummy__dr=ssf__sl=ssf__mm=fifo__af=gpm__sc=pca,dummy,ssf,ssf,fifo,gpm,pca,0.6609,0.5364,0.6484,0.68,0.4842,0.0302,0.0701,0.6988,0.85
dummy__dr=ssf__sl=ssf__mm=fifo__af=gpm__sc=mad,dummy,ssf,ssf,fifo,gpm,cade_mad,0.1272,0.6364,0.0769,0.0533,0.5118,0.0,-0.3784,0.6988,0.29
dummy__dr=ssf__sl=ssf__mm=fifo__af=lwf__sc=pca,dummy,ssf,ssf,fifo,lwf_ssf,pca,0.6186,0.5766,0.7033,0.6267,0.5383,0.015,0.0766,0.6988,1.19
